	English	Japanese (日本語)	Vietnam	Portuguese	Russian	Spanish	French	German	Turkish	Korean	Chinese Simplified	Chinese Traditional
2004	Premium	Premium	Premium	Prêmio	Премиум	Premium	Premium	Premium	Yükseltme			
2005	Challenge	チャレンジ	Thách đấu	Desafio	Вызов	Desafío.	Défier	Challange	Meydan Okuma			
2006	More games	More games	Game khác	Mais Jogos	Другие игры	Más juegos.	Plus de jeux	Mehr Spiele	Diğer Oyunlar			
2007	Option	Option	Cài đặt	Opções	Настройка	Opción.	Options	Option	Ayarlar			
2008	Click Here	Click Here	Ấn đây nè	Clique aqui	Нажмите сюда	Pulse aquí.	Cliquez ici	Klick hier	Buraya Tıkla			
//Store & Premium												
3001	Contains 100 Rubies	Contains 100 Rubies	Contains 100 Rubies	Contains 100 Rubies	Contains 100 Rubies	Contiene 100 Rubies	Contains 100 Rubies	Enthält 100 Rubine	İçinde 100 Elmas var			
3002	HANDFUL OF RUBIES	HANDFUL OF RUBIES	HANDFUL OF RUBIES	HANDFUL OF RUBIES	HANDFUL OF RUBIES	Paquete de rubies	HANDFUL OF RUBIES	Eine Hand voller Runbine	AVUÇ DOLUSU ELMAS			
3003	Contains 350 Rubies	Contains 350 Rubies	Contains 350 Rubies	Contains 350 Rubies	Contains 350 Rubies	Contiene 350 Rubies	Contains 350 Rubies	Enthält 350 Rubine	İçinde 350 elmas var			
3004	BOX OF RUBIES	BOX OF RUBIES	BOX OF RUBIES	BOX OF RUBIES	BOX OF RUBIES	CAJA DE RUBIES	BOX OF RUBIES	Box voller Rubine	KUTU DOLUSU ELMAS			
3005	Contains 750 Rubies \nBest value!	Contains 750 Rubies \nBest value!	Contains 750 Rubies \nBest value!	Contains 750 Rubies \nBest value!	Contains 750 Rubies \nBest value!	Contiene 700 Rubies \nMejor compra!	Contains 750 Rubies \nBest value!	Enthält 700 Rubies \  Bestes Angebot!	Içinde 700 Elmas var \nEn iyi fiyat			
3006	SACK OF RUBIES	SACK OF RUBIES	SACK OF RUBIES	SACK OF RUBIES	SACK OF RUBIES	SACO DE RUBIES	SACK OF RUBIES	Ein Sack voller Rubine	ÇANTA DOLUSU ELMAS			
3007	Free Ruby	Free Ruby	Ruby miễn phí	livre rubi	Рубины в подарок	Rubí gratis	Rubis gratuits	Kostenlose Rubine	Bedava Elmas			
3008	Watch a short video to earn \n3 free ruby	Watch a short video to earn \n3 free ruby	Xem video, nhận ruby	Assista a um vídeo curto para ganhar \n3 Ruby	Посмотрите короткое видео и получите \n3 рубины в подарок	Ver un video corto para ganar rubí gratis.	Visionnez une courte vidéo pour gagner \n3 Rubis gratuits	Schaue ein kurzes Video, um kostenlose Rubine zu erhalten	3 Bedava Elmas için kısa bir video izle			
3009	XP Booster	XP Booster	Nhân xp	XP Booster	Умножитель опыта	Potenciador XP	Boosteur d'XP	XP Booster	TP Arttırıcı			
3010	Double Xp you received for 3 hours	Double Xp you received for 3 hours	Gấp đôi xp trong 3 tiếng	Você recebe o dobro de XP por 3 horas	Получайте вдвое больше опыта 3 часа	Doble XP que recibió durante 3 horas	Doublez votre gain d'XP pendant 3 heures	Du hast doppelte XP für 3 Stunden erhalten	3 Saatlik Tecrübe Puanı İkiye Katlayıcı			
3011	Double Xp you received for 12 hours	Double Xp you received for 12 hours	Gấp đôi xp trong 12 tiếng	Você recebe o dobro de XP por 12 horas	Получайте вдвое больше опыта 12 часов	 Doble XP que recibió durante 12 horas	Doublez votre gain d'XP pendant 12 heures	Du hast doppelte XP für 12 Stunden erhalten	12 Saatlik Tecrübe Puanı İkiye Katlayıcı			
3012	Double Xp you received for 24 hours	Double Xp you received for 24 hours	Gấp đôi xp trong 24 tiếng	Você recebe o dobro de XP por 24 horas	Получайте вдвое больше опыта 24 часа	 Doble XP que recibió durante 24 horas	Doublez votre gain d'XP pendant 24 heures	Du hast doppelte XP für 24 Stunden erhalten	24 Saatlik Tecrübe Puanı İkiye Katlayıcı			
3013	7500 Coin	7500 Coin	7500 Xu	7500 moedas	7500 монет	7500 monedas	7500 Pièces	7500 Münzen	7500 Sikke			
3014	A lot can be done with this	A lot can be done with this	Hãy sử dụng 1 cách hiệu quả	Muito pode ser feito com este	С этим можно многого добиться	 Se puede hacer mucho con esto.	Vous pouvez faire beaucoup avec cela	Damit kann viel getan werden.	Bununla bayağı bir şey yapabilirsin.			
3015	You have bought premium version successfully!	Thank you!	Ngàn lần đa tạ	Obrigado!	Вы купили премиум-версию!	¡Has comprado la versión premium con éxito!	Vous avez acheté la version premium avec succès !	Du hast erfolgreich die Premium Version erworben!	Hesabını başarılı bir şekilde yükselttin.			
3016	Failed to purchased	Failed to purchased	Failed to purchased	Falha ao comprar	Не удалось купить	Error al comprar.	Échec lors de l'achat	Fehler beim Einkauf	Satın alma başarısız.			
3017	The Premium version is restored. Enjoy your time!	The Premium version is restored. Enjoy your time!	Được rồi kìa. Chơi thôi!	A versão premium está recuperada. Aproveite seu tempo!	Премиум-версия восстановлена. Приятной игры!	Se restauró la versión Premium. ¡Disfruta tu tiempo!	La verion prémuim a été rétablie. Profitez !	Die Premium Version wurde wiederhergestellt. Viel Spaß! 	Hesabınız, başarıyla geri yükseltilmiştir. Hayırlı olsun			
3018	Sorry, but you seem not to have purchased the Premium version!	Sorry, but you seem not to have purchased the Premium version!	Tiếc quá, hình như bạn chưa mua gói premium rồi nhể	Desculpe, parece que você não comprou a versão premium!	Извините, но вы, похоже, не покупали премиум-версию!	Lo sientimos, pero parece que no has comprado la versión Premium!	Désolé, il semblerait que vous n'avez pas acheté la version premium !	Entschuldigung, aber du scheinst nicht die Premium-Version gekauft zu haben.	Üzgünüz, ancak görünüşe göre hesap yükseltmeyi satın almamışsınız.			
3019	Premium version contains no Ads. Do you want to purchase this version for 0.99USD?	Premium version contains no Ads. Do you want to purchase this version for 0.99USD?	Premium thì không có quảng cáo đâu đó. Mua nhé, chỉ 0.99 đô thôi?	A versão premium não contem ADS. Você quer comprar esta versão por 0.99 USD?	В премиум-версии нет рекламы. Хотите купить эту версию за 0,99 долл. США?	La versión Premium no contiene anuncios. ¿Quieres comprar esta versión por 0.99USD?	La version premium ne contient pas de publicité. Voulez-vous l'acheter pour 0.99EUR?	Die Premium Version enthält keine Werbung. Möchtest du die Premium-Version für 0.99USD kaufen?	Hesabınızı 0,99 USD karşılığında yükseltirseniz reklamlar kaldırılır. Yükseltmek ister misiniz?			
3020	You already purchased the premium version!	You already purchased the premium version!	Bạn đang dùng gói premium rồi đó!	Você já comprou a versão premium!	Вы купили премиум-версию!	¡Ya has comprado la versión Premium!	Vous avez déjà acheté la version premium !	Du hast bereits die Premium Version!	Hesabınızı zaten yükselttiniz.			
3021	Do you want to restore the premium version you purchased?	Do you want to restore the premium version you purchased?	Bạn có chắc chưa?	Você quer recuperar a versão premium que comprou]?	Хотите восстановить премиум-версию, которую купили раньше?	¿Desea restaurar la versión premium que compró?	Voulez-vous rétalir la version premium que vous avez acheté?	Möchtest du die Premium Version die du gekauft hast wiederherstellen?	Daha önce aldığınız hesap yükseltmeyi yeniden aktifleştirmek ister misiniz?			
3022	We are running out of ad. Please try again later	We are running out of ad. Please try again later	Hết quảng cáo rồi. Thử lại sau nhé	Estamos sem anúncios. Por favor, tente novamente mais tarde.	У нас кончается реклама. Попробуйте позже.	Se nos acabaron los anuncios. Por favor, inténtelo de nuevo más tarde	Nous n'avons plus de publicités disponibles. Veuillez réessayer plus tard.	Wir sind gerade nicht  da. Bitte versuchen sie es später nochmal	Şu anda gösterilebilecek bir reklam bulunmamaktadır. Daha sonra tekrar deneyin.			
3023	Are you sure you want to buy package for {0} Ruby	Are you sure you want to buy package for {0} Ruby	Mua gói này với {0} Ruby nhé	Você está certo de que quer comprar o pacote por {0} Ruby?	Вы точно хотите купить этот набор за рубины ({0})?	¿Estás seguro de que quieres comprar el paquete por {0} Rubí?	Êtes-vous sûrs de vouloir acheter ce pack pour {0} Rubis	Bist du dir sicher das du ein Paket für {0} Rubine kaufen möchtest?	Paketi {0} Elmas karşılığında almak istiyor musunuz?			
3024	All XP you receive will double in the next {0} hour	All XP you receive will double in the next {0} hour	Xp sẽ được gấp đôi trong {0} tiếng tới	Todos os Xps que você receber serão dobrados na(s) próxima(s) {0} hora(s)	Вы получите вдвое больше опыта в следующие {0} ч.	Todos los XP que recibes se duplicarán en las siguientes {0} horas	Tout l'XP que vous gagnez sera doublé dans les {0} prochaines heures.	All deine XP werden sich für die nächsten {0} Stunden verdoppeln	{0} Saat sonrasına kadar kazanacağınız her TP ikiye katlanacaktır.			
3025	Remove Ads	Remove Ads	Remove Ads	Remove Ads	Remove Ads	Remove Ads	Remove Ads	Remove Ads	Reklamları Kaldır			
3026	Premium version contains no advertising	Premium version contains no advertising	Premium thì không có bất kì loại quảng cáo nào hết.	A versão premium não contem anúncios	В премиум-версии нет рекламы	La versión premium no contiene publicidad.	La version premium ne contient pas de publicité	Die Premium Version enthält keine Werbung 	Yükseltilmiş hesapta reklam bulunmamaktadır.			
3027	0.99$	0.99$	0.99$	0.99$	0,99 долл. США	0.99$	0.99	0,99$	0.99$			
3028	2.99$	2.99$	2.99$	2.99$	2,99 долл. США	2.99$	2.99	2,99$	2.99$			
3029	4.99$	4.99$	4.99$	4.99$	4,99 долл. США	4.99$	4.99	4,99$	4.99$			
3030	1.99$	1.99$	1.99$	1.99$	1,99 долл. США	1.99$	1.99	1,99$	1,99$			
3031	VIP PASS was actived 	VIP PASS was actived 	VIP PASS was actived 	Passe VIP foi ativado	VIP-ПРОПУСК активирован	Pase VIP ha sido activado	Le pass VIP a été activé	VIP Pass wurde aktiviert 	VIP PASOSU başarıyla aktif edildi.			
3032	VIP Pass	VIP Pass	VIP Pass	Passe VIP	VIP-пропуск	Pase VIP	Pass VIP	Vip Pass 	VIP PASOSU			
3033	Unlock all current - upcoming premium charts and packs forever	Unlock all current - upcoming premium charts and packs forever	Unlock all current - upcoming premium charts and packs forever	Desbloqueie todos os gráficos e pacotes premium atuais - próximos	Разблокируйте все текущие премиальные графики и пакеты навсегда	Desbloquea para siempre todos los gráficos y paquetes premium actuales.	Débloquez toutes les cartes et packs premium actuels et à venir	Schalte alle aktuellen - kommenden Premium Charts und Packs für immer frei	Geçerli tüm mevcut premium grafikler ve paketlerin kilidini aç			
3034	50.00$	50.00$	50.00$	50.00$	9,99 долл. США	50.00$	50.00$	50.00$	50.00$			
3035	50.00$	50.00$	50.00$	50.00$	19,99 долл. США	50.00$	50.00$	50.00$	50.00$			
3036	Unlock all VIP songs with no ad	Unlock all VIP songs with no ad	Unlock all VIP songs with no ad	Desbloqueie todas as musicas VIP sem AD	Откройте все VIP-песни без рекламы	 Desbloquear todas las canciones VIP sin anuncios.	Unlock all VIP songs with no ad	Schalte alle VIP Songs frei, ohne Werbung	Tüm VIP şarkılarını aç, reklamdan kurtul.			
3037	More info	More info	More info	Mais informações	Подробнее	Más información.	Plus d'informations	Mehr Infos	Daha fazla bilgi			
3038	7 days	7 days	7 days	7 dias	7 дней	7 días	7 jours	7 Tage	7 Gün			
3039	30 days	30 days	30 days	30 dias	30 дней	30 dias	30 jours	30 Tage	30 Gün			
3040	90 days	90 days	90 days	90 dias	90 дней	90 dias	90 jours	90 Tage	90 Gün			
3041	$0.99	$0.99	$0.99	0.99	0,99 долл. США	$0.99	0.99	0,99$	$0.99			
3042	$2.99	$2.99	$2.99	2.99	2,99 долл. США	$2.99	2.99	2,99$	$2.99			
3043	$4.99	$5.99	$5.99	4.99	5,99 долл. США	$4.99	4.99	4,99$	$4.99			
3044	Coming soon	Coming soon	Coming soon	Em breve	Скоро	Próximamente	Prochainement	Kommt bald	Daha sonra gelecek.			
3045	This VIP Subscription (1 week, 1 month, or 1 quarter) enables you unlock all premium songs and block all ads \n1. Payment will be charged to iTunes Account at confirmation of purchase. \n2. Subscription automatically renews and the account will be charged unless auto-renew is turned off at least 24-hours before the end of the current period \n3. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable \n4. Please visit Account setting to manage the subscription auto renewal \nPrivacy policy: https://goo.gl/KCWK6w	This VIP Subscription (1 week, 1 month, or 1 quarter) enables you unlock all premium songs and block all ads \n1. Payment will be charged to iTunes Account at confirmation of purchase. \n2. Subscription automatically renews and the account will be charged unless auto-renew is turned off at least 24-hours before the end of the current period \n3. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable \n4. Please visit Account setting to manage the subscription auto renewal \nPrivacy policy: https://goo.gl/KCWK6w	This VIP Subscription (1 week, 1 month, or 1 quarter) enables you unlock all premium songs and block all ads \n1. Payment will be charged to iTunes Account at confirmation of purchase. \n2. Subscription automatically renews and the account will be charged unless auto-renew is turned off at least 24-hours before the end of the current period \n3. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable \n4. Please visit Account setting to manage the subscription auto renewal \nPrivacy policy: https://goo.gl/KCWK6w			Esta suscripción VIP (1 semana, 1 mes o 1 trimestre) le permite desbloquear todas las canciones premium y bloquear todos los anuncios \ n1. El pago se cargará a la cuenta de iTunes en la confirmación de compra. \ N2. La suscripción se renovará automáticamente y se cargará la cuenta a menos que la renovación automática se cancele al menos 24 horas antes del final del período actual \ n3. Cualquier porción no utilizada de un período de prueba gratuito, si se ofrece, se perderá cuando el usuario compre una suscripción a esa publicación, cuando sea aplicable \ n4. Visite la Configuración de la cuenta para administrar la renovación automática de la suscripción \ Política de privacidad: https://goo.gl/KCWK6w						
3046	This VIP Subscription (1 week, 1 month, or 1 quarter) enables you unlock all premium songs and block all ads \n1. Payment will be charged to iTunes Account at confirmation of purchase. \n2. Subscription automatically renews and the account will be charged unless auto-renew is turned off at least 24-hours before the end of the current period \n3. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable \n4. Please visit Account setting to manage the subscription auto renewal \nPrivacy policy: https://goo.gl/KCWK6w	This VIP Subscription (1 week, 1 month, or 1 quarter) enables you unlock all premium songs and block all ads \n1. Payment will be charged to iTunes Account at confirmation of purchase. \n2. Subscription automatically renews and the account will be charged unless auto-renew is turned off at least 24-hours before the end of the current period \n3. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable \n4. Please visit Account setting to manage the subscription auto renewal \nPrivacy policy: https://goo.gl/KCWK6w	This VIP Subscription (1 week, 1 month, or 1 quarter) enables you unlock all premium songs and block all ads \n1. Payment will be charged to iTunes Account at confirmation of purchase. \n2. Subscription automatically renews and the account will be charged unless auto-renew is turned off at least 24-hours before the end of the current period \n3. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable \n4. Please visit Account setting to manage the subscription auto renewal \nPrivacy policy: https://goo.gl/KCWK6w									
3047	This VIP Subscription (1 week, 1 month, or 1 quarter) enables you unlock all premium songs and block all ads \n1. Payment will be charged to iTunes Account at confirmation of purchase. \n2. Subscription automatically renews and the account will be charged unless auto-renew is turned off at least 24-hours before the end of the current period \n3. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable \n4. Please visit Account setting to manage the subscription auto renewal \nPrivacy policy: https://goo.gl/KCWK6w	This VIP Subscription (1 week, 1 month, or 1 quarter) enables you unlock all premium songs and block all ads \n1. Payment will be charged to iTunes Account at confirmation of purchase. \n2. Subscription automatically renews and the account will be charged unless auto-renew is turned off at least 24-hours before the end of the current period \n3. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable \n4. Please visit Account setting to manage the subscription auto renewal \nPrivacy policy: https://goo.gl/KCWK6w	This VIP Subscription (1 week, 1 month, or 1 quarter) enables you unlock all premium songs and block all ads \n1. Payment will be charged to iTunes Account at confirmation of purchase. \n2. Subscription automatically renews and the account will be charged unless auto-renew is turned off at least 24-hours before the end of the current period \n3. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable \n4. Please visit Account setting to manage the subscription auto renewal \nPrivacy policy: https://goo.gl/KCWK6w									
3048	You have to login to buy subscription	You have to login to buy subscription	You have to login to buy subscription			Tienes que iniciar sesión para comprar la suscripción						
3049	You have to login to buy subscription	You have to login to buy subscription	You have to login to buy subscription			Tienes que iniciar sesión para comprar suscripción						
3050	As a subscriber, you have unlocked all the charts here. Please visit \nSetting => iTunes & App Store => Click Apple ID => View Apple ID =>  Subscription to manage subscription	As a subscriber, you have unlocked all the charts here. Please visit \nSetting => iTunes & App Store => Click Apple ID => View Apple ID =>  Subscription to manage subscription	As a subscriber, you have unlocked all the charts here. Please visit \nSetting => iTunes & App Store => Click Apple ID => View Apple ID =>  Subscription to manage subscription			 Como suscriptor, ha desbloqueado todos los gráficos aquí. Por favor, visita \ nSetting => iTunes & App Store => Haga clic en Apple ID => Ver Apple ID => Suscripción para administrar la suscripción						
3051	As a VIP user, you have possessed all premium songs here. Enjoy!	As a VIP user, you have possessed all premium songs here. Enjoy!	As a VIP user, you have possessed all premium songs here. Enjoy!	Como usuários VIP, você possui todas as músicas premium aqui. Apreciar!	Как VIP-пользователи, вы обладаете всеми премиальными песнями здесь. Наслаждайтесь!	 Como usuarios VIP, has poseído todas las canciones premium aquí. ¡Disfruta!	Le VIP Como, você possui todas as músicas aqui premium. Apreciar!	Hörende Musik Jenseits	VIP kullanıcıları olarak, burada tüm premium şarkıları sahip olmuşlardır. Keyfini çıkarın!			
